HSHEET,YEAR,Longitude (Geographic NAD83),Latitude (Geographic NAD83),Longitude (UTM NAD83),Latitude (UTM NAD83),Historical sounding (Mean lower low water),LiDAR elevation (Mean lower low water),Difference = LiDAR - Historical
H08576,1961,156.47012W,20.90298N,763161.0347,2313483.84,-13.7768,-15.00200081,-1.225200809
H08576,1961,156.49019W,20.93787N,761011.6253,2317315.822,-6.2768,-8.697000504,-2.420200504
H08576,1961,156.49280W,20.93772N,760740.6482,2317294.187,-5.1768,-5.366000175,-0.189200175
H08576,1961,156.49250W,20.93747N,760772.285,2317267.652,-5.5768,-5.300000191,0.276799809
H08576,1961,156.49198W,20.93722N,760826.8349,2317240.036,-4.9768,-5.892000198,-0.915200198
H08576,1961,156.49072W,20.93565N,760960.3344,2317068.868,-4.8768,-5.577000141,-0.700200141
H08576,1961,156.48935W,20.93511N,761103.8173,2317011.295,-5.1768,-6.629000187,-1.452200187
H08576,1961,156.49070W,20.93203N,760968.8004,2316667.76,-4.8768,-4.839000225,0.037799775
H08576,1961,156.49010W,20.93103N,761033.3831,2316557.882,-3.3768,-5.397000313,-2.020200313
H08576,1961,156.48974W,20.93024N,761072.4113,2316471.532,-2.9768,-3.749000311,-0.772200311
H08576,1961,156.42711W,20.91666N,767612.499,2315070.796,-8.0768,-8.889000893,-0.812200893
H08576,1961,156.42818W,20.91924N,767496.6851,2315353.874,-7.7768,-8.659000397,-0.882200397
H08576,1961,156.42858W,20.91850N,767457.0989,2315271.481,-7.7768,-8.655000687,-0.878200687
H08576,1961,156.42644W,20.91816N,767680.6061,2315237.51,-8.6768,-9.237000465,-0.560200465
H08576,1961,156.42770W,20.91820N,767548.6841,2315239.936,-8.6768,-9.31000042,-0.63320042
H08576,1961,156.42814W,20.91851N,767502.1426,2315273.2,-8.6768,-8.845000267,-0.168200267
H08576,1961,156.42780W,20.91854N,767537.5732,2315277.203,-8.6768,-9.464000702,-0.787200702
H08576,1961,156.43168W,20.91805N,767134.6684,2315216.904,-9.0768,-9.876000404,-0.799200404
H08576,1961,156.42995W,20.91743N,767316.3286,2315150.575,-7.7768,-8.499000549,-0.722200549
H08576,1961,156.43367W,20.91580N,766931.5691,2314964.39,-3.7768,-4.315000057,-0.538200057
H08576,1961,156.46737W,20.90501N,763443.5752,2313713.513,-14.1768,-15.54000092,-1.363200916
H08576,1961,156.46443W,20.90491N,763749.8224,2313707.271,-3.3768,-4.128000259,-0.751200259
H08576,1961,156.46495W,20.90394N,763697.6073,2313599.211,-3.5768,-4.630000114,-1.053200114
H08576,1961,156.46624W,20.90460N,763561.6787,2313670.29,-5.1768,-5.592000484,-0.415200484
H08576,1961,156.46632W,20.90378N,763555.5154,2313579.353,-3.8768,-5.634000301,-1.757200301
H08576,1961,156.46762W,20.90421N,763419.2697,2313624.395,-14.1768,-15.24900055,-1.072200549
H08576,1961,156.46724W,20.90412N,763458.6601,2313615.157,-14.3768,-15.51000118,-1.133201183
H08576,1961,156.46650W,20.90301N,763538.3527,2313492.784,-2.2768,-3.64800024,-1.37120024
H08576,1961,156.43341W,20.91877N,766953.6776,2315293.549,-5.7768,-8.891000748,-3.114200748
H08576,1961,156.43310W,20.91792N,766987.4494,2315199.592,-9.0768,-9.120000839,-0.043200839
H08576,1961,156.43380W,20.91756N,766915.5443,2315159.223,-7.3768,-8.815000534,-1.438200534
H08576,1961,156.43399W,20.91664N,766896.8874,2315056.672,-5.1768,-5.549000263,-0.372200263
H08576,1961,156.43430W,20.91709N,766864.1475,2315105.668,-4.9768,-5.788000107,-0.811200107
H08576,1961,156.43541W,20.91666N,766749.3888,2315056.75,-4.2768,-4.240000248,0.036799752
H08576,1961,156.43489W,20.92036N,766796.9476,2315467.408,-5.9768,-6.656000137,-0.679200137
H08576,1961,156.43866W,20.91862N,766407.2925,2315268.639,-7.5768,-7.728000641,-0.151200641
H08576,1961,156.44102W,20.91930N,766161.2394,2315339.489,-15.2768,-18.4260006,-3.149200595
H08576,1961,156.49057W,20.93819N,760971.3384,2317349.754,-9.0768,-8.324000359,0.752799641
H08576,1961,156.48928W,20.93889N,761104.7543,2317429.721,-9.1768,-11.10800076,-1.931200755
H08576,1961,156.49009W,20.94072N,761017.4113,2317630.745,-11.7768,-15.25600052,-3.479200519
H08576,1961,156.49140W,20.94013N,760882.2366,2317563.49,-10.4768,-11.21000099,-0.733200992
H08576,1961,156.48915W,20.92974N,761134.6815,2316416.343,-2.6768,-4.150000095,-1.473200095
H08576,1961,156.48880W,20.92932N,761170.8938,2316370.272,-4.2768,-4.850000381,-0.573200381
H08576,1961,156.48903W,20.92875N,761148.261,2316306.884,-3.1768,-3.78000021,-0.60320021
H08576,1961,156.48841W,20.92820N,761214.4601,2316246.772,-5.5768,-6.429000378,-0.852200378
H08576,1961,156.48794W,20.93889N,761244.3805,2317432.131,-11.2768,-11.88100052,-0.604200519
H08576,1961,156.48726W,20.93897N,761315.305,2317442.106,-11.3768,-12.4090004,-1.032200397
H08576,1961,156.48614W,20.93936N,761431.2646,2317487.018,-14.6768,-16.07700157,-1.400201572
H08576,1961,156.48832W,20.93996N,761202.368,2317549.563,-12.6768,-15.90700054,-3.230200542
H08576,1961,156.48911W,20.94116N,761118.809,2317681.742,-14.4768,-15.1940012,-0.717201198
H08576,1961,156.48937W,20.94215N,761089.9385,2317790.739,-16.5768,-17.80900002,-1.232200015
H08576,1961,156.48597W,20.93982N,761447.8391,2317538.347,-16.3768,-19.12600136,-2.749201358
H08576,1961,156.45930W,20.90541N,764282.9432,2313770.54,-5.1768,-5.438000202,-0.261200202
H08576,1961,156.46137W,20.90471N,764068.4291,2313689.709,-2.6768,-3.425000191,-0.748200191
H08576,1961,156.46043W,20.90512N,764166.0543,2313736.896,-4.2768,-4.879000187,-0.602200187
H08576,1961,156.46095W,20.90559N,764110.5968,2313787.864,-6.4768,-7.833000183,-1.356200183
H08576,1961,156.46294W,20.90601N,763903.2742,2313831.556,-6.0768,-6.166000366,-0.089200366
H08576,1961,156.46237W,20.90600N,763962.1972,2313831.269,-5.3768,-7.045000553,-1.668200553
H08576,1961,156.46226W,20.90647N,763973.238,2313883.51,-5.1768,-7.334000587,-2.157200587
H08576,1961,156.46189W,20.90674N,764010.8546,2313914.016,-11.9768,-9.93200016,2.04479984
H08576,1961,156.46008W,20.90705N,764199.1997,2313951.228,-10.4768,-10.00300026,0.473799741
H08576,1961,156.45887W,20.90708N,764324.9622,2313956.875,-8.0768,-9.080000877,-1.003200877
H08576,1961,156.43952W,20.91132N,766330.9169,2314458.483,-2.9768,-3.921000242,-0.944200242
H08576,1961,156.43791W,20.91265N,766496.4331,2314608.024,-3.5768,-4.357000351,-0.780200351
H08576,1961,156.43838W,20.91936N,766435.7489,2315350.851,-8.0768,-8.434000015,-0.357200015
H08576,1961,156.44155W,20.91611N,766110.8832,2314985.732,-7.5768,-8.548000336,-0.971200336
H08576,1961,156.42457W,20.92018N,767871.604,2315464.915,-4.0768,-6.061000347,-1.984200347
H08576,1961,156.42582W,20.91966N,767741.8382,2315404.448,-6.4768,-8.098999977,-1.622199977
H08576,1961,156.42598W,20.91609N,767731.3174,2315009.334,-3.1768,-4.110000134,-0.933200134
H08576,1961,156.48857W,20.93436N,761186.4833,2316929.617,-5.7768,-7.288000584,-1.511200584
H08576,1961,156.43193W,20.92074N,767104.0912,2315514.312,-5.1768,-6.140000343,-0.963200343
H08576,1961,156.48994W,20.93827N,761037.5707,2317360.318,-9.0768,-8.227000237,0.849799763
H08576,1961,156.47150W,20.90499N,763013.4969,2313703.851,-13.7768,-14.25900078,-0.482200778
H08576,1961,156.42675W,20.91752N,767649.1768,2315165.772,-7.7768,-7.800000191,-0.023200191
H08576,1961,156.48866W,20.93754N,761171.5993,2317281.66,-9.0768,-11.0180006,-1.941200603
H08576,1961,156.48813W,20.93785N,761226.3204,2317316.195,-8.6768,-10.427001,-1.750201
H08576,1961,156.48581W,20.94128N,761461.8517,2317699.861,-18.7768,-19.06200027,-0.285200275
H08576,1961,156.49294W,20.93988N,760722.6489,2317533.298,-8.4768,-9.67400074,-1.19720074
H08576,1961,156.49347W,20.94274N,760662.6428,2317849.85,-15.0768,-15.16100121,-0.084201205
H08576,1961,156.45188W,20.90635N,765053.4837,2313887.78,-6.6768,-6.107000351,0.569799649
H08576,1961,156.42428W,20.92227N,767897.6529,2315696.54,-6.8768,-6.665000439,0.211799561
H08576,1961,156.42453W,20.92167N,767872.6063,2315629.334,-6.6768,-6.274000168,0.402799832
H08576,1961,156.43914W,20.91191N,766369.6366,2314523.909,-4.9768,-3.67200017,1.30479983
H08576,1961,156.44233W,20.91431N,766033.6203,2314785.091,-8.6768,-9.666000366,-0.989200366
H08576,1961,156.42446W,20.92803N,767868.4595,2316334.52,-13.5768,-14.62000084,-1.043200839
H08576,1961,156.43728W,20.91684N,766554.7942,2315072.805,-8.0768,-8.99200058,-0.91520058
H08576,1961,156.44075W,20.91708N,766193.0467,2315094.392,-5.7768,-6.705000401,-0.928200401
H08576,1961,156.43769W,20.91469N,766514.9902,2314834.318,-4.8768,-5.528000355,-0.651200355
H08576,1961,156.44185W,20.91486N,766082.7062,2314846.694,-7.7768,-9.559000969,-1.782200969
H08576,1961,156.48865W,20.93316N,761180.5524,2316796.7,-6.6768,-7.413000584,-0.736200584
