Study,Site Name,Storm,Significant Wave Height (m),Sig. Wave Height SD,Wave Energy_J_m^2,Volume Change (m3/m),vol SD,Beach Type,Waveheight Data Source,Notes
"Mahabot et al., 2017",T01,TC Bejisa,6.41,,51543,-0.545,1.99,Protected,Measured,
"Mahabot et al., 2017",T02,TC Bejisa,6.41,,51543,4.232,1.37,Protected,Measured,
"Mahabot et al., 2017",T04,TC Bejisa,6.41,,51543,-14.892,1.4,Protected,Measured,
"Mahabot et al., 2017",T05,TC Bejisa,6.41,,51543,-6.883,2.28,Protected,Measured,
"Mahabot et al., 2017",T06,TC Bejisa,6.41,,51543,-23.474,1.77,Protected,Measured,
"Mahabot et al., 2017",T07,TC Bejisa,6.41,,51543,4.979,0.95,Protected,Measured,
"Mahabot et al., 2017",T08,TC Bejisa,6.41,,51543,1.751,0.97,Protected,Measured,
"Mahabot et al., 2017",T09,TC Bejisa,6.41,,51543,-4.331,1.1,Protected,Measured,
"Mahabot et al., 2017",T10,TC Bejisa,6.41,,51543,1.855,0.64,Protected,Measured,
"Mahabot et al., 2017",T11,TC Bejisa,6.41,,51543,-1.593,0.62,Protected,Measured,
"Mahabot et al., 2017",T12,TC Bejisa,6.41,,51543,-5.477,3.09,Protected,Measured,
"Mahabot et al., 2017",T13,TC Bejisa,6.41,,51543,0.921,0.96,Protected,Measured,
"Mahabot et al., 2017",T14,TC Bejisa,6.41,,51543,-1.058,1.37,Protected,Measured,
"Mahabot et al., 2017",T15,TC Bejisa,6.41,,51543,0.784,2,Protected,Measured,
"Mahabot et al., 2017",T16,TC Bejisa,6.41,,51543,0.983,1.24,Protected,Measured,
"Mahabot et al., 2017",T17,TC Bejisa,6.41,,51543,1.543,1.41,Protected,Measured,
"Mahabot et al., 2017",T18,TC Bejisa,6.41,,51543,-0.958,1.11,Protected,Measured,
"Mahabot et al., 2017",T19,TC Bejisa,6.41,,51543,-1.294,1.23,Protected,Measured,
"Mahabot et al., 2017",T01,TC Dumile,4.05,,20576,0.402,1.69,Protected,Measured,Dumile occurred in january of 2013 while feleng occurred in early february. 
"Mahabot et al., 2017",T02,TC Dumile,4.05,,20576,1.452,1.29,Protected,Measured,Dumile occurred in january of 2013 while feleng occurred in early february. 
"Mahabot et al., 2017",T04,TC Dumile,4.05,,20576,-1.556,1.44,Protected,Measured,Dumile occurred in january of 2013 while feleng occurred in early february. 
"Mahabot et al., 2017",T05,TC Dumile,4.05,,20576,2.589,2.2,Protected,Measured,Dumile occurred in january of 2013 while feleng occurred in early february. 
